"filename", "language", "C++", "CMake", "YAML", "Dart", "Markdown", "Swift", "JSON", "XML", "Gradle", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\aliba\Desktop\saranel\saranel_application\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\aliba\Desktop\saranel\saranel_application\analysis_options.yaml", "YAML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 30
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 5, 14, 76
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 39
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\aliba\Desktop\saranel\saranel_application\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\aliba\Desktop\saranel\saranel_application\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\aliba\Desktop\saranel\saranel_application\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\aliba\Desktop\saranel\saranel_application\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\aliba\Desktop\saranel\saranel_application\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\aliba\Desktop\saranel\saranel_application\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\bakimmodu_screen\bakimmodu.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\belediye.dart", "Dart", 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 9, 201
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\bireyselyardim.dart", "Dart", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 4, 30, 377
"c:\Users\aliba\Desktop\saranel\saranel_application\lib\company_screens\resmikurum.dart", "Dart", 0, 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 59, 420
