Date : 2023-09-20 22:32:51
Directory : c:\Users\aliba\Desktop\saranel\saranel_application
Total : 77 files,  6745 codes, 586 comments, 607 blanks, all 7938 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         26 |      5,130 |        321 |        315 |      5,766 |
| C++        |         16 |        548 |        121 |        182 |        851 |
| XML        |         10 |        470 |         34 |         12 |        516 |
| JSON       |          7 |        301 |          0 |          4 |        305 |
| Gradle     |          3 |         92 |          5 |         23 |        120 |
| Swift      |          6 |         68 |          7 |         20 |         95 |
| CMake      |          2 |         41 |          0 |         12 |         53 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         36 |         82 |         22 |        140 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         77 |      6,745 |        586 |        607 |      7,938 |
| . (Files)                                                                                                        |          3 |         46 |         82 |         29 |        157 |
| android                                                                                                          |         13 |        205 |         37 |         34 |        276 |
| android (Files)                                                                                                  |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                      |          9 |        162 |         37 |         23 |        222 |
| android\app (Files)                                                                                              |          2 |         96 |          5 |         14 |        115 |
| android\app\src                                                                                                  |          7 |         66 |         32 |          9 |        107 |
| android\app\src\debug                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                             |          5 |         60 |         24 |          7 |         91 |
| android\app\src\main (Files)                                                                                     |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\res                                                                                         |          4 |         32 |         18 |          6 |         56 |
| android\app\src\main\res\drawable                                                                                |          1 |          7 |          0 |          2 |          9 |
| android\app\src\main\res\drawable-v21                                                                            |          1 |          7 |          0 |          2 |          9 |
| android\app\src\main\res\values                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                            |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                           |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                              |          9 |        236 |          4 |         13 |        253 |
| ios (Files)                                                                                                      |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                       |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                               |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                       |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                    |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                  |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                            |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                              |         25 |      5,116 |        311 |        308 |      5,735 |
| lib (Files)                                                                                                      |          2 |        120 |         30 |         14 |        164 |
| lib\bakimmodu_screen                                                                                             |          1 |         70 |          0 |          7 |         77 |
| lib\company_screens                                                                                              |          6 |      1,785 |         14 |        136 |      1,935 |
| lib\genelayarlar                                                                                                 |          2 |         79 |          0 |          5 |         84 |
| lib\main_screens                                                                                                 |          5 |      2,039 |        172 |         50 |      2,261 |
| lib\models                                                                                                       |          2 |        308 |         94 |         27 |        429 |
| lib\settings_screens                                                                                             |          7 |        715 |          1 |         69 |        785 |
| linux                                                                                                            |          6 |        122 |         27 |         44 |        193 |
| linux (Files)                                                                                                    |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                    |          3 |         36 |          9 |         17 |         62 |
| macos                                                                                                            |          7 |        467 |          5 |         16 |        488 |
| macos (Files)                                                                                                    |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                                    |          1 |         22 |          3 |          4 |         29 |
| macos\Runner                                                                                                     |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                             |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |         68 |          0 |          1 |         69 |
